ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	sưởi ghế khách phải mức cao	Heat rear right seat at the highest level 	Activez le chauffage du siègearrière à droite au niveau 1		
	sưởi cho tôi ghế sau bên phải mức thấp nhất đi	Heat rear right seat at the lowest level 	Activez le chauffage du siège arrière à droite au niveau 2	Stell rechte Rücksitzheizung auf minimale Stufe	
	sưởi cho tôi ghế sau bên phải mức cao nhất cho tôi	I want to set rear right seat heater to 1 	Activez le chauffage du siège arrière à droite au niveau 3	Stell rechte Rücksitzheizung auf maximale Stufe	
	chỉnh sưởi ghế sau bên phải mức 1	Change rear right seat heater to 1 please 	Activez le siège chauffant du passager arrière à droite au niveau haut	Stell rechte Rücksitzheizung auf Stufe 1	
	chỉnh sưởi ghế phải đằng sau mức 2	Adjust rear right seat heater to 2 	Allumez le siège chauffant du passager arrière à droite au niveau  moyen	Stell rechte Rücksitzheizung auf Stufe 2	
	chỉnh sưởi ghế khách phải mức 3	Switch rear right seat heater to 3 	Réchauffez le siège arrière à droite à niveau 1	Stell rechte Rücksitzheizung auf Stufe 3	
			Réchauffez le siège arrière à droite à niveau 2	Änder rechte Rücksitzheizung auf Mittel	
			Réchauffez le siège arrière à droite à niveau 3	Stell rechte Rücksitzheizung auf maximale Stufe	
			Réchauffez le siège arrière à droite au niveau le plus fort	Stell rechte Rücksitzheizung auf minimale Stufe	
			Chauffage du siège arrière à droite le plus bas	rechte Rücksitzheizung auf Stufe 1 	
			Chauffage du siège arrière à droite le plus fort	rechte Rücksitzheizung auf Hoch 	
				rechte Rücksitzheizung auf höchste Stufe	
					
					
45	Bật toàn bộ làm mát ghế | làm mát toàn bộ ghế	Turn on all seat ventilations/coolers | All Cooled seats on | Cooled seats on	Allumer la ventilation de tous les sièges/ Activer le refroidisseur des sièges	Aktivier alle Sitzbelüftung/Sitzlüftung/Sitzklimatisierung	Giải thích chế độ làm mát ghế (bao gồm ventilations + coolers??)
	Bật toàn bộ làm mát ghế	Turn on all seat ventilations 	Allume le refroidisseur des sièges	Aktivier alle Sitzbelüftung	
	Mở toàn bộ làm mát ghế	Turn on all seat coolers please 	Allumez les refroidisseurs de siège	Schalte alle Sitzbelüftung ein	
	Khởi động toàn bộ làm mát ghế	All cooled seats on 	Active le refroidisseur des sièges	Mach alle Sitzbelüftung an	
	Chạy toàn bộ làm mát ghế	I want to turn on all seat coolers 	Activez le refroidisseur des sièges	Ich brauche alle Sitzbelüftung	
	Bật hết làm mát ghế lên	Our butts are too hot. Turn on all seat coolers 		Alle Sitzbelüftung an	
	Mở hết làm mát ghế lên	Can you turn on all seat ventilations  please 		Alle Sitzbelüftung anmachen	
	toàn bộ làm mát ghế bật hết lên	I need all seat coolers to be on 		Alle Sitzbelüftung einschalten	
	bật làm mát cả 4 ghế lên đi	Can you turn on all seat coolers please 		Kannst du alle Sitzbelüftung einschalten?	
	Làm mát hết tất cả các ghế lên	Turn on all seat coolers  			
	Làm mát toàn bộ ghế				
46	Tắt toàn bộ làm mát ghế |	Turn off all seat ventilations/coolers | Cooled seats off | All cooled seats off	Annuler le refroidisseur des sièges/ Éteindre le refroidisseur des sièges	Deaktivier alle Sitzbelüftung/Sitzlüftung/Sitzklimatisierung	
	Tắt toàn bộ làm mát ghế	Turn off all seat ventilations 	Annule le refroidisseur des sièges	Deaktivier alle Sitzbelüftung/Sitzlüftung/Sitzklimatisierung	
	Ngưng toàn bộ làm mát ghế	Turn off all seat coolers please 	Annulez tous les refroidisseurs de siège	Schalte alle Sitzbelüftung aus	
	Dừng toàn bộ làm mát ghế	All cooled seats off	Éteins le refroidisseur des sièges	Stopp alle Sitzbelüftung	
	Ngừng toàn bộ làm mát ghế	I want to turn off all seat coolers 	Éteignez le refroidisseur des sièges	Mach alle Sitzbelüftung aus	
	Tắt hết làm mát ghế	Our butts are too hot. Turn off all seat coolers 	Stoppe le refroidisseur de tous les sièges	Ich brauche alle Sitzbelüftung nicht mehr	
	Dừng hết làm mát ghế	Can you turn off all seat ventilations  please 	Stoppez le refroidisseur des sièges	Alle Sitzbelüftung aus	
	Ngưng làm mát tất cả ghế đi ạ	I need all seat coolers to be off	Arrête le refroidisseur des sièges	Alle Sitzbelüftung ausmachen	
	Tắt mát tất cả ghế	Can you turn off all seat coolers please 	Arrêtez le refroidisseur des sièges	Alle Sitzbelüftung ausschalten	
	chế độ làm mát ghế tắt hết đi	Turn off all seat coolers  		Kannst du alle Sitzbelüftung ausschalten?	
	dẹp hết đi không cần làm mát ghế nữa	Stop all seat ventilations now 			
47	Bật làm mát ghế lái | bật làm mát ghế lái | bật mát ghế lái | làm mát ghế lái | làm mát ghế	Turn on driver seat ventilation/cooler | driver cooled seat on	Allumer le refroidisseur du siège conducteur / Activer la ventilation du siège conducteur/	Aktivier Fahrersitzbelüftung/Fahrersitzlüftung/Fahrersitzklimatisierung	
	Bật làm mát ghế lái	Turn on driver seat ventilation	Allume le refroidisseur du siège conducteur	Aktivier Fahrersitzbelüftung	
	Bật mát ghế lái	Turn on driver seat ventilation please	Allumez le refroidisseur du siège conducteur	Schalte Fahrersitzbelüftung ein	
	Làm mát ghế lái	Driver cooled seat on 	Active la ventilation du siège conducteur 	Mach die Fahrersitzbelüftung an	
	Khởi động làm mát ghế lái	I want to turn on driver seat cooler 	Activez la ventilation du siège conducteur 	Ich brauche die Fahrersitzbelüftung	
	Khởi động mát ghế lái	The driver's butt is too hot. Start the driver seat ventilation 	Active le refroidisseur  du siège conducteur	Fahrersitzbelüftung an	
	chạy làm mát ghế lái	Can you turn on driver seat ventilation  please 	Activez le refroidisseur du siège conducteur	Fahrersitzbelüftung anmachen	
	Làm mát ghế lái	I need driver seat cooler to be on 		Fahrersitzbelüftung einschalten	
	Bật mát ghế lái	Can you turn on driver seat cooler please 		Kannst du die Fahrersitzbelüftung einschalten?	
	ghế lái bật làm mát đi	Turn on driver seat cooler 			
	mở làm mát cho ghế lái				
48	Tắt làm mát ghế lái | tắt mát ghế lái | tắt mát ghế lái chính	Turn off driver seat ventilation/cooler | driver cooled seat off	Annuler le refroidisseur du siège conducteur / Désactiver le refroidisseur du siège conducteur	Deaktivier Fahrersitzbelüftung/Fahrersitzlüftung/Fahrersitzklimatisierung	
	Tắt làm mát ghế lái	Turn off driver seat ventilation	Annule le refroidisseur du siège conducteur	Deaktivier Fahrersitzbelüftung	
	tắt mát ghế lái	Turn off driver seat ventilation please	Annulez le refroidisseurt du siège conducteur	Schalte Fahrersitzbelüftung aus	
	tắt mát ghế lái chính	Driver cooled seat off	Éteins le refroidisseur du siège conducteur	Stopp Fahrersitzbelüftung	
	dừng làm mát cho ghế lái đi	I want to turn off all driver seat cooler 	Éteignez la ventilation du siège conducteur	Mach die Fahrersitzbelüftung aus	
	ngưng làm mát ghế lái	The driver's butt is cold. Stop the driver seat ventilation 	Stoppe la ventilation du siège conducteur	Ich brauche die Fahrersitzbelüftung nicht mehr	
	bỏ làm mát ghế lái đi	Can you turn off driver seat ventilation  please 	Stoppez la ventilation du siège conducteur	Fahrersitzbelüftung aus	
	dừng chạy làm mát ghế lái đi	I need driver seat coolers to be off	Arrête le refroidisseur du siège conducteur	Fahrersitzbelüftung ausmachen	
	đừng mở làm mát ghế lái nữa	Can you turn off driver seat cooler please 	Arrêtez le refroidisseur du siège conducteur	Fahrersitzbelüftung ausschalten	
	không cần đâu tắt làm mát ghế lái đi	Turn off driver seat cooler 		Kannst du die Fahrersitzbelüftung ausschalten?	
	làm mát ghế lái làm gì nữa tắt đi	Switch off driver seat cooler 			
49	Bật làm mát ghế trước bên phải | bật làm mát ghế lái phụ | làm mát ghế lái phụ	Turn on front right seat ventilation/cooler | front passenger cooled seat on	Allumer le refroidisseur du siège passager avant / Activer la ventilation du siège passager avant 	Aktivier  Beifahrersitzbelüftung/Beifahrersitzlüftung/Beifahrerklimatisierung	
	Bật làm mát ghế trước bên phải	Turn on front right seat ventilation	Allume le refroidisseur du siège passager avant 	Aktivier Beifahrersitzbelüftung	
	Bật mát ghế trước bên phải	Turn on front right seat cooler please	Allumez le refroidisseur du siège passager avant 	Schalte Beifahrersitzbelüftung ein	
	Làm mát ghế trước bên phải	Front passenger cooled seat on 	Active la ventilation du siège passager avant 	Mach die Beifahrersitzbelüftung an	
	Khởi động làm mát ghế trước bên phải	I want to turn on front right seat cooler 	Activez la ventilation du siège passager avant 	Ich brauche die Beifahrersitzbelüftung	
	Khởi động mát ghế trước bên phải	Turn on front right seat cooler 	Je veux allumer le refroidisseur du siège passager avant	Beifahrersitzbelüftung an	
	Chạy làm mát ghế trước bên phải	Can you turn on front right seat ventilation  please 	Je veux  activer la ventilation du siège passager avant 	Beifahrersitzbelüftung anmachen	
	Làm mát ghế trước bên phải	I need to start front right seat cooler 		Beifahrersitzbelüftung einschalten	
	Làm mát ghế lái phụ	Can you turn on front right seat cooler please 		Kannst du die Beifahrersitzbelüftung einschalten?	
	Bật làm mát sưởi ghế lái phụ	Can you make the front passenger sear cool			
	làm mát ghế khách trên	Cool the front right seat 			
50	Tắt làm mát ghế trước bên phải | tắt làm mát ghế lái phụ	Turn off front right seat ventilation/cooler | front passenger cooled seat off	Annuler le refroidisseur du siège passager avant  / Désactiver la ventilation du siège passager avant 	Deaktivier Beifahrersitzbelüftung/Beifahrersitzlüftung/Beifahrerklimatisierung	
	Tắt làm mát ghế trước bên phải	Turn off front right seat ventilation	Annule le refroidisseur du siège passager avant 	Deaktivier Beifahrersitzbelüftung	
	Tắt mát ghế trước bên phải	Turn off front right seat cooler please	Annulez le refroidisseur du siège passager avant 	Schalte Beifahrersitzbelüftung aus	
	Ngừng làm mát ghế trước bên phải	Front passenger cooled seat off	Désactive le refroidisseur du siège passager avant 	Stopp Beifahrersitzbelüftung	
	Ngưng mát ghế trước bên phải	I want to turn off front right seat cooler 	Désactivez le refroidisseur  du siège passager avant 	Mach die Beifahrersitzbelüftung aus	
	Dừng làm mát ghế trước bên phải	Turn off front right seat cooler 	Éteins la ventilation du siège passager avant 	Ich brauche die Beifahrersitzbelüftung nicht mehr	
	Dừng mát ghế trước bên phải	Can you turn off front right seat ventilation  please 	Éteignez la ventilation du siège passager avant 	Beifahrersitzbelüftung aus	
	Tắt làm mát ghế lái phụ	I need front right seat cooler to be off	Stoppe la ventilation du siège passager avant 	Beifahrersitzbelüftung ausmachen	
	Dừng làm mát ghế lái phụ	Can you turn off front right seat cooler please 	Stoppez la ventilation du siège passager avant 	Beifahrersitzbelüftung ausschalten	
	dừng làm mát ghế khách trên đi không cần nữa	Can you stop the front passenger seat cooler	Arrête le refroidissement du siège passager avant 	Kannst du die Beifahrersitzbelüftung ausschalten?	
	không cần làm mát cho ghế lái trên nữa đâu	Stop the front passenger seat cooler 	Arrêtez le refroidissement du siège passager avant 		
51	Bật làm mát ghế sau bên trái | bật làm mát ghế khách trái	Turn on rear left seat ventilation/cooler | rear left cooled seat on	Allumer le refroidisseur du siège passager arrière à gauche / Activer la ventilation du siège passager arrière à gauche	Aktivier Sitzbelüftung/Sitzlüftung/Sitzklimatisierung des linken Rücksitzes	
	Bật làm mát ghế sau bên trái	Turn on rear left seat ventilation  	Activez la ventilation du siège arrière gauche	Aktivier Sitzbelüftung des linken Rücksitzes	
	mở cho tôi làm mát ghế sau bên trái	Turn on rear left seat ventilation please 	Allumez la ventilation du siège arrière gauche s'il vous plaît	Schalte Sitzbelüftung des linken Rücksitzes ein	
	Làm mát ghế sau bên trái đi	Can you turn on the rear left seat cooler please	Pouvez-vous allumer le refroidisseur de siège arrière gauche s'il vous plaît?	Mach die Sitzbelüftung des linken Rücksitzes an	
	tôi muốn mở làm mát ghế sau bên trái	I need to start the rear left seat cooler 	J'ai besoin de démarrer le refroidisseur de siège arrière gauche	Ich brauche die Sitzbelüftung des linken Rücksitzes	
	bắt đầu làm mát ghế khách trái đi	I want to start rear left seat ventilation 	Je veux démarrer la ventilation du siège arrière à gauche	Sitzbelüftung des linken Rücksitzes an	
	Chạy làm mát ghế sau bên trái	I want to start rear left seat cooler 	Je veux démarrer le refroidisseur de siège arrière gauche	Sitzbelüftung des linken Rücksitzes anmachen	
	Làm mát ghế khách trái	Can you make rear left seat cool right now 	Pouvez-vous refroidir le siège arrière gauche?	Sitzbelüftung des linken Rücksitzes einschalten	
	Làm mát ghế khách trái	Cool the front right seat  	Refroidissez le siège avant à gauche	Kannst du die Sitzbelüftung des linken Rücksitzes einschalten?	
	Bật làm mát ghế khách trái	I need to start the rear left seat ventilation 	J'ai besoin de démarrer la ventilation du siège arrière gauche	linke Rücksitzbelüftung ein	
	mở làm mát vị trí ghế sau bên trái cho tôi	Rear left cooled seat on 		linke Rücksitzbelüftung an	
52	Tắt làm mát ghế sau bên trái | tắt làm mát ghế khách trái	Turn off rear left seat ventilation/cooler | rear left cooled seat on	Éteindre la ventilation du siège arrière à gauche / Désactiver la climatisation du siège arrière à gauche	Deaktivier Sitzbelüftung/Sitzlüftung/Sitzklimatisierung des linken Rücksitzes	
	Tắt làm mát ghế sau bên trái	Turn off rear left seat ventilation  	Éteignez la ventilation du siège arrière gauche	Deaktivier Sitzbelüftung des linken Rücksitzes	
	Tắt mát ghế sau bên trái	Turn off rear left seat ventilation please 	Désactivez la ventilation du siège arrière gauche s'il vous plaît	Schalte Sitzbelüftung des linken Rücksitzes aus	
	Ngừng làm mát ghế sau bên trái	Can you turn off the rear left seat cooler please	Pouvez-vous éteindre le refroidisseur de siège arrière gauche s'il vous plaît	Stopp Sitzbelüftung des linken Rücksitzes	
	Ngưng mát ghế sau bên trái	I need to stop the rear left seat cooler 	Je veux arrêter le refroidisseur de siège arrière gauche	Mach die Sitzbelüftung des linken Rücksitzes aus	
	Dừng làm mát ghế sau bên trái	I want to stop the rear left seat ventilation 	Arrêter le refroidisseur du siège avant droit	Ich brauche die Sitzbelüftung des linken Rücksitzes nicht mehr	
	không cần làm mát ghế sau bên trái	I want to stop rear left seat cooler 	Stoppez le refroidisseur de siège arrière gauche	Sitzbelüftung des linken Rücksitzes aus	
	Tắt làm mát ghế khách trái	Can you stop rear left seat cooler right now 	Pouvez-vous arrêter le refroidisseur de siège arrière gauche?	Sitzbelüftung des linken Rücksitzes ausmachen	
	Dừng làm mát ghế khách trái	Stop the front right seat cooler		Sitzbelüftung des linken Rücksitzes ausschalten	
	dừng làm mát ghế khách trái	I need to stop the rear left seat ventilation 		Kannst du die Sitzbelüftung des linken Rücksitzes ausschalten?	
	dừng làm mát ở trí trí phía sau bên trái đi	Rear left cooled seat off		linke Rücksitzbelüftung aus	
53	Bật làm mát ghế sau bên phải | làm mát ghế sau bên phải | làm mát ghế khách phải	Turn on rear right seat ventilation/cooler | rear right cooled seat on	Allumer la ventilation du siège passager arrière à droite / Activer le refroidisseur du siège passager arrière à droite	Aktivier Sitzbelüftung/Sitzlüftung/Sitzklimatisierung des rechten Rücksitzes	
	Bật làm mát ghế sau bên phải	Turn on rear right seat ventilation  	Activez la ventilation du siège arrière à droite	Aktivier Sitzbelüftung des rechten Rücksitzes	
	làm mát ghế sau bên phải	Turn on rear right seat cooler please 	Allumez le refroidisseur de siège arrière à droite s'il vous plaît	Schalte Sitzbelüftung des rechten Rücksitzes ein	
	làm mát ghế khách phải	Rear right cooled seat on 	Siège arrière à droite refroidi	Mach die Sitzbelüftung des rechten Rücksitzes an	
	Mở làm mát ghế khách phải đi	Can you turn on rear right seat cooler please 	Pouvez-vous allumer le refroidisseur de siège arrière à droite s'il vous plaît	Ich brauche die Sitzbelüftung des rechten Rücksitzes	
	chạy làm mát ghế khách phải đi	I want to turn on rear right seat cooler 	Je veux allumer le refroidisseur de siège arrière à droite	Sitzbelüftung des rechten Rücksitzes an	
	làm mát ghế khách phải cho tôi nhé	I need to start the rear right seat cooler 	Démarrez le refroidisseur de siège arrière à droite	Sitzbelüftung des rechten Rücksitzes anmachen	
	chạy làm mát cho ghế sau bên phải giúp tôi	Make the rear right seat cool 		Sitzbelüftung des rechten Rücksitzes einschalten	
	mở chức năng làm mát cho ghế phải đằng sau đi			Kannst du die Sitzbelüftung des rechten Rücksitzes einschalten?	
	làm mát cho tôi ghế đằng sau bên phải			rechte Rücksitzbelüftung ein	
	làm mát ghế phải phía sau			rechte Rücksitzbelüftung an	
54	Tắt làm mát ghế sau bên phải | tắt làm mát ghế khách phải	Turn off rear right seat ventilation/cooler | rear right cooled seat off	Éteindre la ventilation du siège passager arrière à droite / Désactiver le refroidisseur du siège passager arrière à droite	Deaktivier Sitzbelüftung/Sitzlüftung/Sitzklimatisierung des rechten Rücksitzes	
	Tắt làm mát ghế sau bên phải	Turn off rear right seat ventilation  	Désactivez la ventilation du siège arrière à droite	Deaktivier Sitzbelüftung des rechten Rücksitzes	
	 tắt làm mát ghế khách phải	Turn off rear right seat cooler 	Éteignez le refroidisseur du siège arrière à droite	Schalte Sitzbelüftung des rechten Rücksitzes aus	
	dừng làm mát ghế sau bên phải	Can you turn off rear right cooler please 	Pouvez-vous éteindre le refroidisseur arrière à droite s'il vous plaît	Stopp Sitzbelüftung des rechten Rücksitzes	
	ngưng làm mát ghế khách phải	Rear right cooled seat off 	Je veux éteindre le refroidisseur de siège arrière à droite	Mach die Sitzbelüftung des rechten Rücksitzes aus	
	dừng làm mát ghế khách phải lại đi	I want to turn off rear right seat cooler 	Je n'ai plus besoin de refroidisseur de siège arrière à droite	Ich brauche die Sitzbelüftung des rechten Rücksitzes nicht mehr	
	không cần làm mát vị trí ghế sau bên phải nữa đâu	Stop the rear right seat ventilation 	Arrêtez la ventilation du siège arrière à droite	Sitzbelüftung des rechten Rücksitzes aus	
	dẹp đi khỏi làm mát ghế khách phải nữa	I don't need rear right seat cooler anymore 		Sitzbelüftung des rechten Rücksitzes ausmachen	
	thôi bỏ đi không cần làm mát ghế sau bên phải đâu			Sitzbelüftung des rechten Rücksitzes ausschalten	
	chả muốn làm mát ghế phải phía sau nữa đâu			Kannst du die Sitzbelüftung des rechten Rücksitzes ausschalten?	
	chẳng cần làm mát ghế đằng sau bên phải nữa nhé			rechte Rücksitzbelüftung aus	
55	Đặt toàn bộ làm mát ghế mức cao/trung bình/thấp(mức một/hai/ba)	Set seat cooler to (level) one/two/three | Set all seat ventilation/cooler to high/medium/low	Mettre le refroidisseur de tous les sièges au niveau haut/moyen/bas   / Régler la ventilation de tous les sièges au niveau 1-2-3	Stell alle Sitzbelüftung/Sitzlüftung/Sitzklimatisierung auf Hoch/ Mittel/ Niedrig  |  Stell alle Sitzbelüftung/Sitzlüftung/Sitzklimatisierung auf Stufe eins/ zwei/ drei	
	Đặt toàn bộ làm mát ghế mức cao	Set all seat coolers to high level 	Réglez tous les refroidisseurs des sièges à un niveau élevé	Stell alle Sitzbelüftung auf Hoch	
	Đặt toàn bộ làm mát ghế mức 3	Set all seat ventilations to (level) 3 	Réglez toutes les ventilations des sièges au niveau 3	Stell alle Sitzbelüftung auf Stufe 3	
	điều chỉnh làm mát toàn bộ ghế mức thấp nhất	Can you set all seat coolers to the lowest level	Pouvez-vous régler tous les refroidisseurs de siège au niveau le plus bas	Stell alle Sitzbelüftung auf minimale Stufe	
	điều chỉnh làm mát toàn bộ ghế mức 1 nhé	Adjust all seat coolers to 1 please 	Ajustez tous les refroidisseurs de siège à 1 s'il vous plaît	Stell alle Sitzbelüftung auf Stufe 1	
	tất cả ghế chỉnh về làm mát mức trung bình	I want to set all seat coolers to medium 	Je veux régler tous les refroidisseurs de siège au niveau moyen	Ich möchte alle Sitzbelüftung auf Mittel	
	toàn bộ các ghế làm mát mức 2 thôi	All seat coolers level 2 	Tous les refroidisseurs de siège niveau 2	Alle Sitzbelüftung auf Stufe 2	
	tất cả ghế chỉnh về làm mát mức 3	Turn all seat coolers to 3 	Mettez tous les refroidisseurs de siège au niveau 3	Alle Sitzbelüftung auf 3	
	tất cả ghế chỉnh về làm mát mức thấp	Can you please turn all seat coolers to low 	Pouvez-vous s'il vous plaît tourner tous les refroidisseurs de siège au niveau bas	Kannst du bitte alle Sitzbelüftung auf niedrig stellen	
	điều chỉnh làm mát toàn bộ ghế mức cao nhất	Change all seat coolers to high level 		Änder alle Sitzbelüftung auf Hoch	
	điều chỉnh làm mát toàn bộ ghế mức vừa thôi	Adjust all seat coolers to medium 		Alle Sitzbelüftung auf höchste Stufe	
56	Đặt làm mát ghế lái mức cao/trung bình/thấp | làm mát ghế lái mức cao/trung bình/thấp (mức một/hai/ba)	Set driver seat cooler to (level) one/two/three | Set driver seat ventilation/cooler to high/medium/low	Mettre la ventilation du siège conducteur au niveau élevé/moyen/bas   / Régler le refroidisseur du siège conducteur au niveau 1-2-3	Stell Fahrersitzbelüftung/Fahrersitzlüftung/Fahrersitzklimatisierung auf Hoch/ Mittel/ Niedrig | Stell Fahrersitzbelüftung/Fahrersitzlüftung/Fahrersitzklimatisierung auf Stufe eins/ zwei/ drei	
	Đặt làm mát ghế lái mức cao	Set driver seat cooler to high 	Réglez le refroidisseur du siège conducteur au niveau élevé	Stell Sitzbelüftung des Fahrersitzes auf Hoch	
	làm mát ghế lái mức cao	Set driver seat cooler to high please 	Réglez le refroidisseur du siège conducteur au niveau élevé s'il vous plaît	Bitte Sitzbelüftung des Fahrers auf Hoch	
	làm mát ghế mức trung bình	I want to set driver cooler seat to medium 	Je veux régler le refroidisseur du siège conducteur au niveau moyen	Stell Fahrersitzbelüftung auf Mittel	
	làm mát ghế mức thấp nhất	Can you set driver seat ventilation to high please 	Pouvez-vous régler la ventilation du siège conducteur au niveau élevé 	Stell Fahrersitzbelüftung auf minimale Stufe	
	chỉnh làm mát ghế mức cao nhất đi	Change the driver seat ventilation to medium 	Changez la ventilation du siège conducteur au niveau moyen	Änder Fahrersitzbelüftung auf Hoch	
	chỉnh làm mát ghế lái về mức vừa vừa thôi	Adjust the driver seat ventilation to high 	Réglez la ventilation du siège conducteur au niveau élevé	Fahrersitzbelüftung auf Hoch	
	điều chỉnh làm mát ghế lái mức cao	Change the driver seat cooler to high 	Réglez la ventilation du siège conducteur au niveau bas	Fahrersitzbelüftung auf Hoch einstellen	
	điều chỉnh làm mát ghế lái mức 1 cho tôi	Turn driver seat cooler to 1 	Réglez le refroidisseur du siège conducteur au niveau 1	Stell Fahrersitzbelüftung auf minimale Stufe	
	làm mát ghế mức 3	Set driver seat cooler to 3 	Réglez le refroidisseur du siège conducteur au niveau 2	Sitzbelüftung des Fahrers auf Hoch	
	Đặt làm mát ghế lái mức 2	Driver seat cooler level 2 	Réglez le refroidisseur du siège conducteur au niveau 3	Sitzbelüftung des Fahrers auf höchste Stufe	
57	Đặt làm mát ghế trước bên phải mức cao/trung bình/thấp | làm mát ghế trước bên phải mức cao/trung bình/thấp | làm mát ghế lái phải mức cao/trung bình/thấp (mức một/hai/ba)	Set front right seat cooler to (level) one/two/three | Set front right seat ventilation/cooler to high/medium/low	Mettre la ventilation du siège passager avant au niveau haut/moyen/bas / Régler le refroidisseur du siège passager avant au niveau 1-2-3	Stell Beifahrersitzbelüftung/Beifahrersitzlüftung/Beifahrersitzklimatisierung auf Hoch/ Mittel/ Niedrig | Stell Beifahrersitzbelüftung/Beifahrersitzlüftung/Beifahrersitzklimatisierungauf auf Stufe eins/ zwei/ drei	
	Đặt làm mát ghế trước bên phải mức trung bình	Set front right seat cooler to medium 	Réglez le refroidisseur du siège passager avant au niveau élevé	Stell Beifahrersitzlüftung auf Mittel	
	Đặt làm mát ghế trước bên phải mức cao	Set front right seat cooler to highest level please 	Réglez le refroidisseur du siège passager avant au niveau élevé s'il vous plaît	Stell Beifahrersitzklimatisierung auf Hoch	
	Đặt làm mát ghế trước bên phải mức thấp	I want to set front right seat cooler to low 	Je veux régler le refroidisseur du siège passager avant au niveau moyen	Stell Beifahrersitzbelüftung auf Niedrig	
	làm mát ghế lái phải mức cao	Can you set front right seat cooler to high please	Pouvez-vous régler la ventilation du siège passager avant au niveau élevé 	Stell die Sitzbelüftung des Beifahrers auf Stufe 1	
	làm mát ghế lái phải mức 2	Turn front right seat cooler to 2 	Changez la ventilation du siège passager avant au niveau moyen	Sitzbelüftung des Beifahrers auf Stufe 1	
	làm mát ghế lái phải mức trung bình	Set the front right seat ventilation to medium 	Réglez la ventilation du siège passager avant au niveau élevé	Beifahrersitzbelüftung auf Stufe 2	
	làm mát ghế lái phải mức thấp nhất	Change front right seat cooler to low level 	Réglez le refroidisseur du siège passager avant au niveau 1	Sitzbelüftung des Beifahrers auf Mittel	
	đặt làm mát ghế lái phụ mức 1	Set front right seat cooler to 1 	Réglez le refroidisseur du siège passager avant au niveau 2	Stell Beifahrersitzkühler auf Stufe 1	
	đặt làm mát ghế lái phụ mức 2	Turn front right seat cooler to 2 	Réglez le refroidisseur du siège passager avant au niveau 3	Stell Beifahrersitzkühler auf Stufe 2	
	chỉnh làm mát ghế lái phụ tại mức 3	Adjust front right seat cooler to 3 		Stell Beifahrersitzkühler auf Stufe 3	
58	Đặt làm mát ghế sau bên trái mức cao/trung bình/thấp | làm mát ghế sau bên phải mức cao/trung bình/thấp | làm mát ghế khách trái mức cao/trung bình/thấp (mức một/hai/ba)	Set rear left seat cooler to (level) one/two/three | Set rear left seat ventilation/cooler to high/medium/low	Mettre la ventilation du siège arrière à gauche au niveau haut/moyen/bas / Régler le refroidisseur du siège arrière à gauche au niveau 1-2-3	Stell Kühler des linken Rücksitzes auf Hoch/ Mittel/ Niedrig | Stell Kühler des linken Rücksitzes auf Stufe eins/ zwei/ drei	
	Đặt làm mát ghế sau bên trái mức cao	Set rear left seat cooler to high 	Réglez le refroidisseur du siège arrière à gauche au niveau élevé	Stell Kühler des linken Rücksitzes auf Hoch	
	Đặt làm mát ghế sau bên trái mức 2	Set rear left seat cooler to 2 please 	Réglez le refroidisseur du siège arrière à gauche au niveau élevé s'il vous plaît	Stell Kühler des linken Rücksitzes auf Stufe 2	
	Đặt làm mát ghế sau bên trái mức thấp nhất	I want to set rear left seat cooler to the lowest 	Je veux régler le refroidisseur du siège arrière à gauche au niveau moyen	Ich möchte den Kühler des linken Rücksitzes auf niedrigste Stufe stellen	
	làm mát ghế khách trái mức cao nhất	Can you turn rear left seat cooler to the highest level 	Pouvez-vous régler la ventilation du siège arrière à gauche au niveau élevé 		
	chỉnh làm mát ghế khách trái mức tối thiểu	Adjust the rear left seat cooler to the lowest level 	Changez la ventilation du siège arrière à gauche au niveau moyen		
	đặt cho làm mát ghế khách trái mức trung bình	Turn the rear left seat cooler to medium 	Réglez la ventilation du siège arrière à gauche au niveau élevé		
	chỉnh làm mát ghế trái đằng sau mức tối đa	I want to set rear left seat cooler to 3	Réglez le refroidisseur du siège arrière à gauche au niveau 1		
	làm mát mức nhỏ nhất cho ghế trái đằng sau	Please change the rear left seat cooler to minimum 	Réglez le refroidisseur du siège arrière à gauche au niveau 2		
	làm mát mức vừa cho ghế sau bên trái	Set the front right seat cooler to medium 	Réglez le refroidisseur du siège arrière à gauche au niveau 3		
	đặt mức làm mát cao nhất ghế khách trái	Set the front right seat cooler to high please			
59	Đặt làm mát ghế sau bên phải mức cao/trung bình/thấp | làm mát ghế sau bên phải mức cao/trung bình/thấp | làm mát ghế khách phải mức cao/trung bình/thấp (mức một/hai/ba)	Set rear right seat cooler to (level) one/two/three | Set rear right seat ventilation/cooler to high/medium/low	Mettre la ventilation du siège arrière à droite au niveau haut/moyen/bas / Régler le refroidisseur du siège arrière à droite au niveau 1-2-3	Stell Kühler des rechten Rücksitzes auf Hoch/ Mittel/ Niedrig | Stell Kühler des rechten Rücksitzes auf Stufe eins/ zwei/ drei	
	Đặt làm mát ghế sau bên phải mức cao	Set rear right seat cooler to high 	Réglez le refroidisseur du siège arrière à droite au niveau élevé	Stell Kühler des rechten Rücksitzes auf Hoch	
